cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Endometrial CancerUterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
Endometrial CancerUterine Undifferentiated Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Undifferentiated Carcinoma	ucec	Endometrial Carcinoma
Endometrial CarcinomaUterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Uterus	ucs_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucs	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor
Endometrial CarcinomaUterine Endometrioid Carcinoma	Uterus	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
Endometrial CarcinomaUterine Mixed Endometrial Carcinoma	Uterus	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
Endometrial CarcinomaUterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Uterus	ucec_tcga_pan_can_atlas_2018	Endometrial Carcinoma	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
Ependymoma infratentorial B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Ependymoma infratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Ependymoma supratentorial B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Ependymoma supratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Ependymomal TumorAnaplastic ependymoma	CNS/Brain	mixed_pipseq_2017	Ependymomal Tumor	Anaplastic ependymoma	mixed	Mixed Cancer Types
Ependymomal TumorEpendymoma	CNS/Brain	mixed_pipseq_2017	Ependymomal Tumor	Ependymoma	mixed	Mixed Cancer Types
Esophageal Squamous Cell CarcinomaEsophageal Squamous Cell Carcinoma	Esophagus/Stomach	esca_tcga_pan_can_atlas_2018	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
Esophageal/Stomach Cancer, NOSEsophagus/Stomach	Esophagus/Stomach	esca_tcga	Esophageal/Stomach Cancer, NOS	Esophagus/Stomach	esca	Esophageal Adenocarcinoma
Esophagogastric AdenocarcinomaDiffuse Type Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Diffuse Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric AdenocarcinomaEsophageal Adenocarcinoma	Esophagus/Stomach	esca_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
Esophagogastric AdenocarcinomaEsophagogastric Adenocarcinoma	Esophagus/Stomach	egc_tmucih_2015	Esophagogastric Adenocarcinoma	Esophagogastric Adenocarcinoma	egc	Esophagogastric Adenocarcinoma
Esophagogastric AdenocarcinomaIntestinal Type Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Intestinal Type Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric AdenocarcinomaMucinous Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Mucinous Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric AdenocarcinomaPapillary Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric AdenocarcinomaStomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric AdenocarcinomaTubular Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Tubular Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric CancerAdenocarcinoma of the Gastroesophageal Junction	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Adenocarcinoma of the Gastroesophageal Junction	msk	NA
