cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Ovarian CancerHigh-Grade Neuroendocrine Carcinoma of the Ovary	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	High-Grade Neuroendocrine Carcinoma of the Ovary	msk	NA
Ovarian CancerHigh-Grade Serous Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	High-Grade Serous Ovarian Cancer	msk	NA
Ovarian CancerLow-Grade Serous Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Low-Grade Serous Ovarian Cancer	msk	NA
Ovarian CancerMixed Ovarian Carcinoma	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Mixed Ovarian Carcinoma	msk	NA
Ovarian CancerMucinous Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Mucinous Ovarian Cancer	msk	NA
Ovarian CancerOvarian Cancer, Other	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Ovarian Cancer, Other	msk	NA
Ovarian CancerOvarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	msk	NA
Ovarian CancerOvarian Epithelial Tumor	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Ovarian Epithelial Tumor	msk	NA
Ovarian CancerOvarian Seromucinous Carcinoma	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Ovarian Seromucinous Carcinoma	msk	NA
Ovarian CancerSerous Borderline Ovarian Tumor	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Serous Borderline Ovarian Tumor	msk	NA
Ovarian CancerSerous Borderline Ovarian Tumor, Micropapillary	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Serous Borderline Ovarian Tumor, Micropapillary	msk	NA
Ovarian CancerSerous Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Serous Ovarian Cancer	msk	NA
Ovarian CancerSmall Cell Carcinoma of the Ovary	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Small Cell Carcinoma of the Ovary	msk	NA
Ovarian Epithelial TumorSerous Ovarian Cancer	Ovary/Fallopian Tube	ov_tcga_pan_can_atlas_2018	Ovarian Epithelial Tumor	Serous Ovarian Cancer	ov	NA
Ovarian Germ Cell TumorImmature Teratoma	Ovary/Fallopian Tube	mixed_pipseq_2017	Ovarian Germ Cell Tumor	Immature Teratoma	mixed	Mixed Cancer Types
Ovarian/Fallopian Tube Cancer, NOSOvary/Fallopian Tube	Ovary/Fallopian Tube	summit_2018	Ovarian/Fallopian Tube Cancer, NOS	Ovary/Fallopian Tube	summit	NA
OvarianOvary/Fallopian Tube	Ovary/Fallopian Tube	cellline_nci60	Ovarian	Ovary/Fallopian Tube	cellline	NA
Pancreatic AdenocarcinomaPancreatic Adenocarcinoma	Pancreas	paad_tcga_pan_can_atlas_2018	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	paad	Pancreatic Adenocarcinoma
Pancreatic Cancer, NOSPancreas	Pancreas	paad_tcga	Pancreatic Cancer, NOS	Pancreas	paad	Pancreatic Adenocarcinoma
Pancreatic CancerAcinar Cell Carcinoma of the Pancreas	Pancreas	paac_jhu_2014	Pancreatic Cancer	Acinar Cell Carcinoma of the Pancreas	paac	Acinar Cell Carcinoma of the Pancreas
Pancreatic CancerAdenosquamous Carcinoma of the Pancreas	Pancreas	msk_impact_2017	Pancreatic Cancer	Adenosquamous Carcinoma of the Pancreas	msk	NA
Pancreatic CancerIntraductal Papillary Mucinous Neoplasm	Pancreas	pact_jhu_2011	Pancreatic Cancer	Intraductal Papillary Mucinous Neoplasm	pact	Cystic Tumor of the Pancreas
Pancreatic CancerMucinous Cystic Neoplasm	Pancreas	pact_jhu_2011	Pancreatic Cancer	Mucinous Cystic Neoplasm	pact	Cystic Tumor of the Pancreas
Pancreatic CancerPancreatic Adenocarcinoma	Pancreas	msk_impact_2017	Pancreatic Cancer	Pancreatic Adenocarcinoma	msk	NA
Pancreatic CancerPancreatic Neuroendocrine Tumor	Pancreas	panet_shanghai_2013	Pancreatic Cancer	Pancreatic Neuroendocrine Tumor	panet	Pancreatic Neuroendocrine Tumor
Pancreatic CancerPancreatoblastoma	Pancreas	msk_impact_2017	Pancreatic Cancer	Pancreatoblastoma	msk	NA
Pancreatic CancerSerous Cystadenoma of the Pancreas	Pancreas	pact_jhu_2011	Pancreatic Cancer	Serous Cystadenoma of the Pancreas	pact	Cystic Tumor of the Pancreas
Pancreatic CancerSolid Pseudopapillary Neoplasm of the Pancreas	Pancreas	pact_jhu_2011	Pancreatic Cancer	Solid Pseudopapillary Neoplasm of the Pancreas	pact	Cystic Tumor of the Pancreas
Pancreatic CancerUndifferentiated Carcinoma of the Pancreas	Pancreas	msk_impact_2017	Pancreatic Cancer	Undifferentiated Carcinoma of the Pancreas	msk	NA
Penile CancerBasaloid Penile Squamous Cell Carcinoma	Skin	msk_impact_2017	Penile Cancer	Basaloid Penile Squamous Cell Carcinoma	msk	NA
Penile CancerPenile Squamous Cell Carcinoma	Skin	msk_impact_2017	Penile Cancer	Penile Squamous Cell Carcinoma	msk	NA
Peripheral Nervous SystemNeuroblastoma	Peripheral Nervous System	msk_impact_2017	Peripheral Nervous System	Neuroblastoma	msk	NA
PheochromocytomaPheochromocytoma	CNS/Brain	msk_impact_2017	Pheochromocytoma	Pheochromocytoma	msk	NA
Pilocytic astrocytoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Pilocytic astrocytoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Pineal TumorPineal Parenchymal Tumor of Intermediate Differentiation	CNS/Brain	msk_impact_2017	Pineal Tumor	Pineal Parenchymal Tumor of Intermediate Differentiation	msk	NA
Pineal TumorPineoblastoma	Germ Cell	mixed_pipseq_2017	Pineal Tumor	Pineoblastoma	mixed	Mixed Cancer Types
Pleural MesotheliomaPleural Mesothelioma, Biphasic Type	Pleura	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type	meso	NA
Pleural MesotheliomaPleural Mesothelioma, Epithelioid Type	Pleura	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type	meso	NA
Pleural MesotheliomaPleural Mesothelioma, Sarcomatoid Type	Pleura	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	meso	NA
prad_su2c_2019prad_su2c_2019	Prostate	prad_su2c_2019	prad_su2c_2019	prad_su2c_2019	prad	Prostate Adenocarcinoma
Prostate AdenocarcinomaProstate Adenocarcinoma	Prostate	prad_su2c_2015	Prostate Adenocarcinoma	Prostate Adenocarcinoma	prad	Prostate Adenocarcinoma
Prostate CancerCastration-Resistant Prostate Cancer	Prostate	nepc_wcm_2016	Prostate Cancer	Castration-Resistant Prostate Cancer	nepc	NA
Prostate CancerProstate Adenocarcinoma	Prostate	msk_impact_2017	Prostate Cancer	Prostate Adenocarcinoma	msk	NA
Prostate CancerProstate Neuroendocrine Carcinoma	Prostate	msk_impact_2017	Prostate Cancer	Prostate Neuroendocrine Carcinoma	msk	NA
Prostate CancerProstate Small Cell Carcinoma	Prostate	msk_impact_2017	Prostate Cancer	Prostate Small Cell Carcinoma	msk	NA
ProstateProstate	Prostate	cellline_nci60	Prostate	Prostate	cellline	NA
Renal cancerNephroblastomatosis	Kidney	mixed_pipseq_2017	Renal cancer	Nephroblastomatosis	mixed	Mixed Cancer Types
Renal cancerRenal Cell Carcinoma	Kidney	mixed_pipseq_2017	Renal cancer	Renal Cell Carcinoma	mixed	Mixed Cancer Types
Renal cancerWilms Tumor	Kidney	mixed_pipseq_2017	Renal cancer	Wilms Tumor	mixed	Mixed Cancer Types
Renal Cell CarcinomaChromophobe Renal Cell Carcinoma	Kidney	kich_tcga_pub	Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
Renal Cell CarcinomaChromophobe Renal Cell CarcinomaÂ 	Kidney	kirc_bgi	Renal Cell Carcinoma	Chromophobe Renal Cell CarcinomaÂ 	kirc	NA
Renal Cell CarcinomaClear Cell Papillary Renal Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Clear Cell Papillary Renal Cell Carcinoma	msk	NA
Renal Cell CarcinomaCollecting Duct Renal Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Collecting Duct Renal Cell Carcinoma	msk	NA
Renal Cell CarcinomaFH-Deficient Renal Cell Carcinoma	Kidney	tmb_mskcc_2018	Renal Cell Carcinoma	FH-Deficient Renal Cell Carcinoma	tmb	NA
Renal Cell CarcinomaPapillary Renal Cell Carcinoma	Kidney	kirp_tcga	Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
Renal Cell CarcinomaRenal Angiomyolipoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Angiomyolipoma	msk	NA
Renal Cell CarcinomaRenal Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Cell Carcinoma	msk	NA
Renal Cell CarcinomaRenal Clear Cell Carcinoma	Kidney	ccrcc_irc_2014	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ccrcc	Renal Clear Cell Carcinoma
Renal Cell CarcinomaRenal Clear Cell Carcinoma with Sarcomatoid Features	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Clear Cell Carcinoma with Sarcomatoid Features	msk	NA
Renal Cell CarcinomaRenal Medullary Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Medullary Carcinoma	msk	NA
Renal Cell CarcinomaRenal Mucinous Tubular Spindle Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Mucinous Tubular Spindle Cell Carcinoma	msk	NA
Renal Cell CarcinomaRenal Non-Clear Cell Carcinoma	Kidney	nccrcc_genentech_2014	Renal Cell Carcinoma	Renal Non-Clear Cell Carcinoma	nccrcc	Renal Non-Clear Cell Carcinoma
Renal Cell CarcinomaRenal Oncocytoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Renal Oncocytoma	msk	NA
Renal Cell CarcinomaTranslocation-Associated Renal Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Translocation-Associated Renal Cell Carcinoma	msk	NA
Renal Cell CarcinomaUnclassified Renal Cell Carcinoma	Kidney	msk_impact_2017	Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma	msk	NA
Renal Clear Cell CarcinomaRenal Clear Cell Carcinoma	Kidney	kirc_tcga_pan_can_atlas_2018	Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	kirc	NA
Renal Non-Clear Cell CarcinomaChromophobe Renal Cell Carcinoma	Kidney	kich_tcga_pan_can_atlas_2018	Renal Non-Clear Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
Renal Non-Clear Cell CarcinomaPapillary Renal Cell Carcinoma	Kidney	kirp_tcga_pan_can_atlas_2018	Renal Non-Clear Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
RenalRenal Cell Carcinoma	Kidney	cellline_nci60	Renal	Renal Cell Carcinoma	cellline	NA
Retinoblastoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Retinoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
RetinoblastomaRetinoblastoma	Eye	msk_impact_2017	Retinoblastoma	Retinoblastoma	msk	NA
Rhabdoid CancerRhabdoid Cancer	Kidney	rt_target_2018_pub	Rhabdoid Cancer	Rhabdoid Cancer	rt	NA
Rhabdomyosarcoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Rhabdomyosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Salivary CancerAdenoid Cystic Carcinoma	Head and Neck	acyc_fmi_2014	Salivary Cancer	Adenoid Cystic Carcinoma	acyc	Adenoid Cystic Carcinoma
Salivary Gland CancerAcinic Cell Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Acinic Cell Carcinoma	msk	NA
Salivary Gland CancerAdenoid Cystic Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Adenoid Cystic Carcinoma	msk	NA
Salivary Gland CancerMammary Analogue Secretory Carcinoma of Salivary Gland Origin	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	msk	NA
Salivary Gland CancerMucoepidermoid Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Mucoepidermoid Carcinoma	msk	NA
Salivary Gland CancerMyoepithelial Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Myoepithelial Carcinoma	msk	NA
Salivary Gland CancerSalivary Adenocarcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Salivary Adenocarcinoma	msk	NA
Salivary Gland CancerSalivary Adenocarcinoma NOS	Head and Neck	hnc_mskcc_2016	Salivary Gland Cancer	Salivary Adenocarcinoma NOS	hnc	NA
Salivary Gland CancerSalivary Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Salivary Carcinoma	msk	NA
Salivary Gland CancerSalivary Carcinoma, Other	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Salivary Carcinoma, Other	msk	NA
Salivary Gland CancerSalivary Duct Carcinoma	Head and Neck	msk_impact_2017	Salivary Gland Cancer	Salivary Duct Carcinoma	msk	NA
Salivary Gland-Type Tumor of the LungMucoepidermoid carcinoma of the lung	Head and Neck	mixed_pipseq_2017	Salivary Gland-Type Tumor of the Lung	Mucoepidermoid carcinoma of the lung	mixed	Mixed Cancer Types
SarcomaDedifferentiated Liposarcoma	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
SarcomaDesmoid/Aggressive Fibromatosis	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Desmoid/Aggressive Fibromatosis	sarc	NA
SarcomaLeiomyosarcoma	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Leiomyosarcoma	sarc	NA
SarcomaMalignant Peripheral Nerve Sheath Tumor	Peripheral Nervous System	sarc_tcga_pan_can_atlas_2018	Sarcoma	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
SarcomaMyxofibrosarcoma	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Myxofibrosarcoma	sarc	NA
SarcomaSynovial Sarcoma	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Synovial Sarcoma	sarc	NA
SarcomaUndifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Soft Tissue	sarc_tcga_pan_can_atlas_2018	Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
Sellar TumorCraniopharyngioma, Adamantinomatous Type	CNS/Brain	msk_impact_2017	Sellar Tumor	Craniopharyngioma, Adamantinomatous Type	msk	NA
Sellar TumorGranular Cell Tumor	Pituitary	msk_impact_2017	Sellar Tumor	Granular Cell Tumor	msk	NA
Sellar TumorPituicytoma	CNS/Brain	msk_impact_2017	Sellar Tumor	Pituicytoma	msk	NA
Sellar TumorPituitary Adenoma	Pituitary	msk_impact_2017	Sellar Tumor	Pituitary Adenoma	msk	NA
SeminomaSeminoma	Testis	tgct_tcga_pan_can_atlas_2018	Seminoma	Seminoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Sex Cord Stromal TumorGranulosa Cell Tumor	Other	msk_impact_2017	Sex Cord Stromal Tumor	Granulosa Cell Tumor	msk	NA
Sex Cord Stromal TumorSertoli-Leydig Cell Tumor	Other	msk_impact_2017	Sex Cord Stromal Tumor	Sertoli-Leydig Cell Tumor	msk	NA
Sex Cord Stromal TumorSex Cord Stromal Tumor	Other	msk_impact_2017	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	msk	NA
Sex Cord Stromal TumorSteroid Cell Tumor, NOS	Other	msk_impact_2017	Sex Cord Stromal Tumor	Steroid Cell Tumor, NOS	msk	NA
skcm_tcgaskcm_tcga	Skin	skcm_tcga	skcm_tcga	skcm_tcga	skcm	Cutaneous Melanoma
Skin Cancer, Non-MelanomaBasal Cell Carcinoma	Skin	brca_tcga	Skin Cancer, Non-Melanoma	Basal Cell Carcinoma	brca	Invasive Breast Carcinoma
Skin Cancer, Non-MelanomaCutaneous Squamous Cell Carcinoma	Skin	cscc_dfarber_2015	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	cscc	Cutaneous Squamous Cell Carcinoma
Skin Cancer, Non-MelanomaDermatofibroma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Dermatofibroma	msk	NA
Skin Cancer, Non-MelanomaDermatofibrosarcoma Protuberans	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Dermatofibrosarcoma Protuberans	msk	NA
Skin Cancer, Non-MelanomaExtramammary Paget Disease	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Extramammary Paget Disease	msk	NA
Skin Cancer, Non-MelanomaMerkel Cell Carcinoma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Merkel Cell Carcinoma	msk	NA
Skin Cancer, Non-MelanomaSebaceous Carcinoma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Sebaceous Carcinoma	msk	NA
Skin Cancer, Non-MelanomaSkin Adnexal Carcinoma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Skin Adnexal Carcinoma	msk	NA
Skin Cancer, Non-MelanomaSweat Gland Adenocarcinoma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Sweat Gland Adenocarcinoma	msk	NA
Skin Cancer, Non-MelanomaSweat Gland Carcinoma/Apocrine Eccrine Carcinoma	Skin	msk_impact_2017	Skin Cancer, Non-Melanoma	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	msk	NA
Small Bowel CancerDuodenal Adenocarcinoma	Bowel	msk_impact_2017	Small Bowel Cancer	Duodenal Adenocarcinoma	msk	NA
Small Bowel CancerSmall Bowel Cancer	Bowel	msk_impact_2017	Small Bowel Cancer	Small Bowel Cancer	msk	NA
Small Cell Lung CancerCombined Small Cell Lung Carcinoma	Lung	lung_msk_pdx	Small Cell Lung Cancer	Combined Small Cell Lung Carcinoma	lung	Lung
Small Cell Lung CancerSmall Cell Lung Cancer	Lung	msk_impact_2017	Small Cell Lung Cancer	Small Cell Lung Cancer	msk	NA
Soft Tissue Cancer, NOSSoft Tissue	Soft Tissue	sarc_tcga	Soft Tissue Cancer, NOS	Soft Tissue	sarc	NA
Soft Tissue SarcomaAlveolar Rhabdomyosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Alveolar Rhabdomyosarcoma	msk	NA
Soft Tissue SarcomaAlveolar Soft Part Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Alveolar Soft Part Sarcoma	msk	NA
Soft Tissue SarcomaAngiosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Angiosarcoma	msk	NA
Soft Tissue SarcomaClear Cell Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Clear Cell Sarcoma	msk	NA
Soft Tissue SarcomaDedifferentiated Liposarcoma	Soft Tissue	sarc_tcga_pub	Soft Tissue Sarcoma	Dedifferentiated Liposarcoma	sarc	NA
Soft Tissue SarcomaDesmoid/Aggressive Fibromatosis	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Desmoid/Aggressive Fibromatosis	msk	NA
Soft Tissue SarcomaDesmoplastic Small-Round-Cell Tumor	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Desmoplastic Small-Round-Cell Tumor	msk	NA
Soft Tissue SarcomaEmbryonal Rhabdomyosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Embryonal Rhabdomyosarcoma	msk	NA
Soft Tissue SarcomaEpithelioid Hemangioendothelioma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Epithelioid Hemangioendothelioma	msk	NA
Soft Tissue SarcomaEpithelioid Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Epithelioid Sarcoma	msk	NA
Soft Tissue SarcomaFibrosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Fibrosarcoma	msk	NA
Soft Tissue SarcomaFollicular Dendritic Cell Sarcoma	Lymphoid	msk_impact_2017	Soft Tissue Sarcoma	Follicular Dendritic Cell Sarcoma	msk	NA
Soft Tissue SarcomaGlomangiosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Glomangiosarcoma	msk	NA
Soft Tissue SarcomaHistiocytic Dendritic Cell Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Histiocytic Dendritic Cell Sarcoma	msk	NA
Soft Tissue SarcomaInflammatory Myofibroblastic Tumor	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Inflammatory Myofibroblastic Tumor	msk	NA
Soft Tissue SarcomaIntimal Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Intimal Sarcoma	msk	NA
Soft Tissue SarcomaLeiomyosarcoma	Soft Tissue	sarc_tcga_pub	Soft Tissue Sarcoma	Leiomyosarcoma	sarc	NA
Soft Tissue SarcomaLiposarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Liposarcoma	msk	NA
Soft Tissue SarcomaLow-Grade Fibromyxoid Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Low-Grade Fibromyxoid Sarcoma	msk	NA
Soft Tissue SarcomaMyofibroma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Myofibroma	msk	NA
Soft Tissue SarcomaMyxofibrosarcoma	Soft Tissue	sarc_tcga_pub	Soft Tissue Sarcoma	Myxofibrosarcoma	sarc	NA
Soft Tissue SarcomaMyxoid/Round-Cell Liposarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Myxoid/Round-Cell Liposarcoma	msk	NA
Soft Tissue SarcomaMyxoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Myxoma	msk	NA
Soft Tissue SarcomaOssifying Fibromyxoid Tumor	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Ossifying Fibromyxoid Tumor	msk	NA
Soft Tissue SarcomaPerivascular Epithelioid Cell Tumor	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Perivascular Epithelioid Cell Tumor	msk	NA
Soft Tissue SarcomaPleomorphic Liposarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Pleomorphic Liposarcoma	msk	NA
Soft Tissue SarcomaPleomorphic Rhabdomyosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Pleomorphic Rhabdomyosarcoma	msk	NA
Soft Tissue SarcomaProximal-Type Epithelioid Sarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Proximal-Type Epithelioid Sarcoma	msk	NA
Soft Tissue SarcomaRhabdomyosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Rhabdomyosarcoma	msk	NA
Soft Tissue SarcomaRhabdomyosarcoma, Alveolar subtype	Soft Tissue	mixed_pipseq_2017	Soft Tissue Sarcoma	Rhabdomyosarcoma, Alveolar subtype	mixed	Mixed Cancer Types
Soft Tissue SarcomaSarcoma, NOS	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Sarcoma, NOS	msk	NA
Soft Tissue SarcomaSclerosing Epithelioid Fibrosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Sclerosing Epithelioid Fibrosarcoma	msk	NA
Soft Tissue SarcomaSmall round blue cell tumor/ Ewing Sarcoma	Soft Tissue	mixed_pipseq_2017	Soft Tissue Sarcoma	Small round blue cell tumor/ Ewing Sarcoma	mixed	Mixed Cancer Types
Soft Tissue SarcomaSoft Tissue Myoepithelial Carcinoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Soft Tissue Myoepithelial Carcinoma	msk	NA
Soft Tissue SarcomaSoft Tissue Sarcoma	Soft Tissue	sarc_tcga	Soft Tissue Sarcoma	Soft Tissue Sarcoma	sarc	NA
Soft Tissue SarcomaSolitary Fibrous Tumor/Hemangiopericytoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Solitary Fibrous Tumor/Hemangiopericytoma	msk	NA
Soft Tissue SarcomaSpindle Cell Rhabdomyosarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Spindle Cell Rhabdomyosarcoma	msk	NA
Soft Tissue SarcomaSynovial Sarcoma	Soft Tissue	sarc_tcga_pub	Soft Tissue Sarcoma	Synovial Sarcoma	sarc	NA
Soft Tissue SarcomaUndifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Soft Tissue	sarc_tcga_pub	Soft Tissue Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	sarc	NA
Soft Tissue SarcomaWell-Differentiated Liposarcoma	Soft Tissue	msk_impact_2017	Soft Tissue Sarcoma	Well-Differentiated Liposarcoma	msk	NA
Soft Tissue TumorInflammatory myofibroblastic tumor	Soft Tissue	mixed_pipseq_2017	Soft Tissue Tumor	Inflammatory myofibroblastic tumor	mixed	Mixed Cancer Types
Soft Tissue TumorPlexiform fibrohistiocytic tumor	Soft Tissue	mixed_pipseq_2017	Soft Tissue Tumor	Plexiform fibrohistiocytic tumor	mixed	Mixed Cancer Types
summit_2018summit_2018	Other	summit_2018	summit_2018	summit_2018	summit	NA
T-cell acute lymphoblastic leukemia B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	T-cell acute lymphoblastic leukemia	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
T-Lymphoblastic Leukemia/LymphomaT-Lymphoblastic Leukemia/Lymphoma	Lymphoid	msk_impact_2017	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	msk	NA
Thymic Epithelial TumorThymoma	Thymus	thym_tcga_pan_can_atlas_2018	Thymic Epithelial Tumor	Thymoma	thym	Thymoma
Thymic TumorThymic Carcinoma	Thymus	msk_impact_2017	Thymic Tumor	Thymic Carcinoma	msk	NA
Thymic TumorThymic Epithelial Tumor	Thymus	tet_nci_2014	Thymic Tumor	Thymic Epithelial Tumor	tet	Thymic Epithelial Tumor
Thymic TumorThymoma	Thymus	msk_impact_2017	Thymic Tumor	Thymoma	msk	NA
Thyroid CancerAnaplastic Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Anaplastic Thyroid Cancer	msk	NA
Thyroid CancerAnaplastic Thyroid Carcinoma	Thyroid	thyroid_mskcc_2016	Thyroid Cancer	Anaplastic Thyroid Carcinoma	thyroid	Thyroid
Thyroid CancerFollicular Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Follicular Thyroid Cancer	msk	NA
Thyroid CancerHurthle Cell Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Hurthle Cell Thyroid Cancer	msk	NA
Thyroid CancerMedullary Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Medullary Thyroid Cancer	msk	NA
